year,western_champion,eastern_champion,result,nba_champion,nba_vice_champion,final_sweep,mvp_name,mvp_height_m,mvp_height_ft,mvp_position,mvp_team,mvp_nationality,mvp_status
1962,Los Angeles Lakers,Boston Celtics,3–4,Boston Celtics,Los Angeles Lakers,false,B. Russell,2.08,6.8241472000000005,Center,Boston Celtics,US,Champion
1963,Los Angeles Lakers,Boston Celtics,2–4,Boston Celtics,Los Angeles Lakers,false,B. Russell,2.08,6.8241472000000005,Center,Boston Celtics,US,Champion
1964,San Francisco Warriors,Boston Celtics,1–4,Boston Celtics,San Francisco Warriors,false,O. Robertson,1.96,6.4304464,Guard,Cincinnati Royals,US,Not reached Final
1965,Los Angeles Lakers,Boston Celtics,1–4,Boston Celtics,Los Angeles Lakers,false,B. Russell,2.08,6.8241472000000005,Center,Boston Celtics,US,Champion
1966,Los Angeles Lakers,Boston Celtics,3–4,Boston Celtics,Los Angeles Lakers,false,W. Chamberlain,2.16,7.0866144,Center,Philadelphia 76ers,US,Not reached Final
1967,San Francisco Warriors,Philadelphia 76ers,2–4,Philadelphia 76ers,San Francisco Warriors,false,W. Chamberlain,2.16,7.0866144,Center,Philadelphia 76ers,US,Champion
1968,Los Angeles Lakers,Boston Celtics,2–4,Boston Celtics,Los Angeles Lakers,false,W. Chamberlain,2.16,7.0866144,Center,Philadelphia 76ers,US,Not reached Final
1969,Los Angeles Lakers,Boston Celtics,3–4,Boston Celtics,Los Angeles Lakers,false,W. Unseld,2.01,6.5944883999999995,Center,Baltimore Bullets,US,Not reached Final
1970,Los Angeles Lakers,New York Knicks,3–4,New York Knicks,Los Angeles Lakers,false,W. Reed,2.06,6.7585304,Center,New York Knicks,US,Champion
1971,Milwaukee Bucks,Baltimore Bullets,4–0,Milwaukee Bucks,Baltimore Bullets,true,K. AJabbar,2.18,7.1522312,Center,Milwaukee Bucks,US,Champion
1972,Los Angeles Lakers,New York Knicks,4–1,Los Angeles Lakers,New York Knicks,false,K. AJabbar,2.18,7.1522312,Center,Milwaukee Bucks,US,Not reached Final
1973,Los Angeles Lakers,New York Knicks,1–4,New York Knicks,Los Angeles Lakers,false,D. Cowens,2.06,6.7585304,Center,Boston Celtics,US,Not reached Final
1974,Milwaukee Bucks,Boston Celtics,3–4,Boston Celtics,Milwaukee Bucks,false,K. AJabbar,2.18,7.1522312,Center,Milwaukee Bucks,US,Vice-Champion
